Molecule ChEMBL ID,SMILES,class,pIC50,Mw,logP,HBd,HBa,Max_ring_size,ro5_ok,ro5_count,Cluster
CHEMBL3660741,CS(=O)(=O)Nc1ccc(-c2coc3cc(C#CC4CN(C(=O)CO)C4)ccc3c2=O)cc1,inactive,3.886056647693163,452.1042073599999,1.6337000000000002,2,8,6,True,4,1
CHEMBL508324,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,intermediate,5.259999900311453,310.125217576,4.659780000000003,1,4,6,True,4,2
CHEMBL399572,N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,active,6.1911141326401875,282.093917448,4.023680000000002,1,4,6,True,4,3
CHEMBL3818992,O=C(/C=C/c1ccc(O)c(O)c1)NCCC1CCN(Cc2ccccc2)CC1,intermediate,5.455931955649724,380.209992756,3.5295000000000023,3,5,6,True,4,4
CHEMBL3629466,COc1ccc(/C=C/c2cc(OC)cc(OC)c2/C=C/C(=O)c2cc3ccccc3oc2=O)cc1,inactive,4.379863945026242,468.1572884879999,5.885300000000005,0,6,6,False,3,5
CHEMBL3264955,CC1CC/C(=N\Nc2nc(-c3ccc(F)cc3)cs2)C1,intermediate,5.723538195826756,289.104896732,4.537100000000002,1,3,6,True,4,6
CHEMBL4170002,Cc1c2c(nn1-c1ccc(/C=N/NC(=S)NCN3CCOCC3)cc1)-c1ccccc1S(=O)(=O)N2C,inactive,4.188424994129407,525.1616797239999,2.0739199999999998,2,10,6,False,3,7
CHEMBL4216146,C#CCN(CCOc1ccc2ccc(=O)oc2c1)Cc1ccc(OC)cc1,inactive,4.25924267669223,363.147058152,3.315800000000002,0,5,6,True,4,8
CHEMBL5195988,O=C1c2ccccc2-c2nccc3cc(OCCCN4CCN(c5ccccc5)CC4)cc1c23,active,8.045757490560675,449.21032710400004,5.0373000000000046,0,5,6,False,3,9
CHEMBL3134350,O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1,inactive,3.684029654543082,394.98012548,4.172500000000001,1,7,6,True,4,10
CHEMBL5174599,CS(=O)(=O)N1CCc2cc(C3CC3NCC3CCNCC3)ccc21,inactive,4.0,349.182398104,1.4537999999999995,2,5,6,True,4,11
CHEMBL3133241,CCN(CC)CCCCCCOc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1,inactive,4.480303232840147,411.27734404399996,6.155200000000007,0,4,6,False,3,12
CHEMBL4172754,CN1c2c(nn(-c3ccc(/C=N/NC(=S)NCN4CCOCC4)cc3)c2-c2ccccc2)-c2ccccc2S1(=O)=O,intermediate,5.512861624522814,587.1773297880001,3.4325000000000028,2,10,6,False,3,13
CHEMBL4243235,CN(CC(=O)O)[C@H](CO)Cc1ccc(OCc2ccccc2)cc1,inactive,4.301029995663981,329.162708216,2.1853999999999996,2,5,6,True,4,14
CHEMBL4059652,C#CCn1c(-c2ccc(C(=O)N/N=C/c3ccc[nH]3)cc2)nc2ccccc21,inactive,3.0,367.14331016400007,3.4285000000000014,2,6,6,True,4,15
CHEMBL470226,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,intermediate,5.0301183562535,343.05144351599995,2.4488000000000003,1,6,6,True,4,16
CHEMBL3264957,CC1CC/C(=N\Nc2nc(-c3ccc(C#N)cc3)cs2)C1,inactive,4.95506845385084,296.109567512,4.269680000000003,1,4,6,True,4,17
CHEMBL4069293,CC(C)N1CCN(CCCCOc2ccc3c(c2)NC(=O)CC3)CC1,inactive,4.844663962534939,345.241627232,2.7563000000000013,1,5,6,True,4,18
CHEMBL4174105,C#CCNCc1cn(-c2cc(NC(=S)NCC)ncn2)cn1,intermediate,5.363813104801276,315.12661454400006,0.6913999999999995,3,7,6,True,4,19
CHEMBL4852191,CCN(CC)CCCOc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(O)c1,inactive,4.326979092871104,396.241292884,4.465000000000005,1,5,6,True,4,20
